"kol","lnk","gosp","gosc","frek","nFrek"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,sandecja-nowy-sacz,1650293.html","WIS£A KRAKÓW SA","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 14007 osób","14007"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,kks-lech-poznan,1650289.html","GÓRNIK ZABRZE SSA","KKS LECH POZNAÑ","Mecz ogl¹da³o 24563 osób","24563"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,gks-piast-gliwice-s-a,1650288.html","BRUK-BET TERMALICA NIECIECZA","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 2612 osób","2612"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,cracovia-ssa-krakow,1650290.html","ZAG£ÊBIE LUBIN","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 5219 osób","5219"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,legia-warszawa-s-a,1650292.html","POGOÑ SZCZECIN","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 6192 osób","6192"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,bruk-bet-termalica-nieciecza,1650295.html","JAGIELLONIA BIA£YSTOK SSA","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 6973 osób","6973"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,pogon-szczecin,1650301.html","WIS£A KRAKÓW SA","POGOÑ SZCZECIN","Mecz ogl¹da³o 11398 osób","11398"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,cracovia-ssa-krakow,1650299.html","GKS PIAST GLIWICE S.A.","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 4296 osób","4296"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,kks-lech-poznan,1650300.html","SANDECJA NOWY S¥CZ","KKS LECH POZNAÑ","Mecz ogl¹da³o 2544 osób","2544"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,wisla-plock-s-a,1650297.html","LECHIA GDAÑSK","WIS£A P£OCK S.A.","Mecz ogl¹da³o 7670 osób","7670"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,arka-gdynia-ssa,1650302.html","ŒL¥SK WROC£AW","ARKA GDYNIA SSA","Mecz ogl¹da³o 8421 osób","8421"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,gornik-zabrze-ssa,1650298.html","LEGIA WARSZAWA S.A.","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 24890 osób","24890"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,korona-sa-kielce,1650296.html","ZAG£ÊBIE LUBIN","KORONA SA KIELCE","Mecz ogl¹da³o 3784 osób","3784"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,lechia-gdansk,1650305.html","CRACOVIA SSA KRAKÓW","LECHIA GDAÑSK","Brak danych na temat widowni",NA
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,jagiellonia-bialystok-ssa,1650306.html","GÓRNIK ZABRZE SSA","JAGIELLONIA BIA£YSTOK SSA","Brak danych na temat widowni",NA
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,gks-piast-gliwice-s-a,1650309.html","POGOÑ SZCZECIN","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 1611 osób","1611"
